Name,Time,Cumulative PnL
GroupOneStrategy,2019-Oct-10 13:30:25.389000,0.000000
GroupOneStrategy,2019-Oct-10 13:31:34.467000,0.000000
GroupOneStrategy,2019-Oct-10 13:32:45.833000,0.000000
GroupOneStrategy,2019-Oct-10 13:33:57.487000,0.000000
GroupOneStrategy,2019-Oct-10 13:35:00.293000,0.000000
GroupOneStrategy,2019-Oct-10 13:36:16.434000,0.000000
GroupOneStrategy,2019-Oct-10 13:37:44.139000,0.000000
GroupOneStrategy,2019-Oct-10 13:38:52.564000,-3.620000
GroupOneStrategy,2019-Oct-10 13:40:06.764000,-8.796314
GroupOneStrategy,2019-Oct-10 13:41:22.977000,-9.092661
GroupOneStrategy,2019-Oct-10 13:42:28.974000,-9.389008
GroupOneStrategy,2019-Oct-10 13:43:49.107000,-9.685389
GroupOneStrategy,2019-Oct-10 13:44:50.553000,-9.685389
GroupOneStrategy,2019-Oct-10 13:45:51.114000,-9.685389
GroupOneStrategy,2019-Oct-10 13:46:55.227000,-9.685389
GroupOneStrategy,2019-Oct-10 13:48:00.254000,-7.305389
GroupOneStrategy,2019-Oct-10 13:49:05.513000,-7.981770
GroupOneStrategy,2019-Oct-10 13:50:11.909000,-8.397904
GroupOneStrategy,2019-Oct-10 13:51:12.945000,-4.665971
GroupOneStrategy,2019-Oct-10 13:52:17.866000,4.918051
GroupOneStrategy,2019-Oct-10 13:53:21.733000,0.742230
GroupOneStrategy,2019-Oct-10 13:54:33.169000,0.742230
GroupOneStrategy,2019-Oct-10 13:55:34.931000,-0.053411
GroupOneStrategy,2019-Oct-10 13:56:45.373000,-0.053411
GroupOneStrategy,2019-Oct-10 13:57:52.436000,-0.144560
GroupOneStrategy,2019-Oct-10 13:58:56.914000,-0.144560
GroupOneStrategy,2019-Oct-10 14:00:06.632000,-0.144560
GroupOneStrategy,2019-Oct-10 14:01:12.984000,2.145030
GroupOneStrategy,2019-Oct-10 14:02:19.515000,4.849669
GroupOneStrategy,2019-Oct-10 14:03:30.926000,-3.120786
GroupOneStrategy,2019-Oct-10 14:04:38.716000,-3.415934
GroupOneStrategy,2019-Oct-10 14:05:45.303000,-4.126299
GroupOneStrategy,2019-Oct-10 14:07:03.179000,-2.421482
GroupOneStrategy,2019-Oct-10 14:08:09.103000,4.578518
GroupOneStrategy,2019-Oct-10 14:09:27.817000,4.078518
GroupOneStrategy,2019-Oct-10 14:10:39.177000,3.783146
GroupOneStrategy,2019-Oct-10 14:11:54.413000,6.783146
GroupOneStrategy,2019-Oct-10 14:13:21.518000,7.283146
GroupOneStrategy,2019-Oct-10 14:14:31.595000,5.283146
GroupOneStrategy,2019-Oct-10 14:15:48.154000,2.607795
GroupOneStrategy,2019-Oct-10 14:16:55.813000,2.607795
GroupOneStrategy,2019-Oct-10 14:18:17.449000,2.607795
GroupOneStrategy,2019-Oct-10 14:19:18.112000,2.607795
GroupOneStrategy,2019-Oct-10 14:20:51.814000,2.607795
GroupOneStrategy,2019-Oct-10 14:22:15.729000,3.487795
GroupOneStrategy,2019-Oct-10 14:23:37.219000,5.487795
GroupOneStrategy,2019-Oct-10 14:24:45.881000,6.987795
GroupOneStrategy,2019-Oct-10 14:25:57.914000,6.987795
GroupOneStrategy,2019-Oct-10 14:27:18.239000,6.987795
GroupOneStrategy,2019-Oct-10 14:28:35.680000,7.897453
GroupOneStrategy,2019-Oct-10 14:29:45.358000,10.397453
GroupOneStrategy,2019-Oct-10 14:31:02.523000,5.602371
GroupOneStrategy,2019-Oct-10 14:32:06.126000,8.602371
GroupOneStrategy,2019-Oct-10 14:33:23.654000,12.602371
GroupOneStrategy,2019-Oct-10 14:34:41.303000,7.836634
GroupOneStrategy,2019-Oct-10 14:35:50.320000,7.836634
GroupOneStrategy,2019-Oct-10 14:36:58.443000,10.216634
GroupOneStrategy,2019-Oct-10 14:38:08.383000,12.041418
GroupOneStrategy,2019-Oct-10 14:39:18.677000,12.041418
GroupOneStrategy,2019-Oct-10 14:40:29.756000,12.831221
GroupOneStrategy,2019-Oct-10 14:41:44.149000,17.156005
GroupOneStrategy,2019-Oct-10 14:42:48.844000,17.156005
GroupOneStrategy,2019-Oct-10 14:44:04.795000,17.156005
GroupOneStrategy,2019-Oct-10 14:45:22.810000,17.156005
GroupOneStrategy,2019-Oct-10 14:46:26.400000,17.156005
GroupOneStrategy,2019-Oct-10 14:47:35.340000,17.156005
GroupOneStrategy,2019-Oct-10 14:48:38.941000,16.860946
GroupOneStrategy,2019-Oct-10 14:49:51.484000,22.740946
GroupOneStrategy,2019-Oct-10 14:51:04.288000,18.740946
GroupOneStrategy,2019-Oct-10 14:52:11.817000,16.740946
GroupOneStrategy,2019-Oct-10 14:53:12.741000,14.475925
GroupOneStrategy,2019-Oct-10 14:54:21.235000,14.475925
GroupOneStrategy,2019-Oct-10 14:55:33.396000,14.475925
GroupOneStrategy,2019-Oct-10 14:56:45.597000,14.475925
GroupOneStrategy,2019-Oct-10 14:58:03.414000,14.475925
GroupOneStrategy,2019-Oct-10 14:59:10.364000,16.681179
GroupOneStrategy,2019-Oct-10 15:00:16.919000,16.681179
GroupOneStrategy,2019-Oct-10 15:01:21.574000,19.561179
GroupOneStrategy,2019-Oct-10 15:02:32.665000,14.886422
GroupOneStrategy,2019-Oct-10 15:03:37.860000,14.886422
GroupOneStrategy,2019-Oct-10 15:04:39.216000,14.886422
GroupOneStrategy,2019-Oct-10 15:05:58.948000,14.886422
GroupOneStrategy,2019-Oct-10 15:07:08.959000,14.886422
GroupOneStrategy,2019-Oct-10 15:08:13.731000,13.266422
GroupOneStrategy,2019-Oct-10 15:09:13.928000,10.591778
GroupOneStrategy,2019-Oct-10 15:10:30.488000,10.591778
GroupOneStrategy,2019-Oct-10 15:11:51.395000,10.591778
GroupOneStrategy,2019-Oct-10 15:13:04.821000,10.591778
GroupOneStrategy,2019-Oct-10 15:14:13.478000,10.591778
